trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2019-01-01 00:00:18,2703186189652095,"fraud_Rippin, Kub and Mann",misc_net,4.97,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",1988-03-09,0b242abb623afc578575680df30655b9,1325376018,36.011293,-82.048315,0
2019-01-01 00:18:07,343464013864032,fraud_Kunde-Sanford,misc_net,2.55,Jodi,Foster,F,551 Zachary Freeway,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,1962-08-13,abe0676c18f34fa305b113fa762e29b5,1325377087,36.74987,-78.67787,0
2019-01-01 00:37:18,4265776278887457,fraud_Pacocha-O'Reilly,grocery_pos,103.0,Christine,Best,F,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",1954-01-05,289789e617eece42a9cafe36680b1b69,1325378238,35.034285,-92.34301,0
2019-01-01 00:56:59,571465035400,"fraud_Reichert, Huels and Hoppe",shopping_net,113.4,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1976-02-26,9d660a18154a3ba5fe869f373c6f819c,1325379419,42.868965,-108.50335,0
2019-01-01 01:16:52,6593250708747804,fraud_Brekke and Sons,gas_transport,55.18,Melissa,Meza,F,244 Abbott Parkway,Loxahatchee,FL,33470,26.7383,-80.27600000000001,26551,Paramedic,1977-01-04,3c6158c556727d527f8b51cc03b30236,1325380612,27.346033,-80.475563,0
2019-01-01 01:33:51,3568736585751727,fraud_Kutch-Hegmann,grocery_net,55.6,Thomas,Cross,M,7566 Thompson Creek Apt. 827,Elkhart,IA,50073,41.8114,-93.4855,1195,Trading standards officer,1974-03-13,a85f17caa74a4eb0acaff9bae866b1d9,1325381631,41.081282,-92.85909,0
2019-01-01 01:47:09,4653879239169997,"fraud_Adams, Kovacek and Kuhlman",grocery_net,53.87,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",1999-06-06,47d1b0ee1ad5619a39708fec07275ae7,1325382429,36.784818,-86.36912199999999,0
2019-01-01 02:08:48,4079773899158,fraud_Hills-Witting,shopping_net,2.11,Eric,Preston,M,7020 Doyle Stream Apt. 951,Mesa,ID,83643,44.6255,-116.4493,129,Cartographer,1965-12-15,3749d51cb61d34bcaae08fcbee53fceb,1325383728,44.710102,-117.229968,0
2019-01-01 02:28:51,3595111028444131,fraud_Doyle Ltd,grocery_pos,157.07,Jeffery,Sanders,M,5278 Sarah Station Apt. 009,Cardwell,MO,63829,36.0434,-90.2907,1120,Television floor manager,1957-04-17,2718171b5be46962b081ee742ed3cd42,1325384931,35.632995,-89.589641,0
2019-01-01 02:48:42,6011231546538393,fraud_Kris-Weimann,misc_net,150.61,Johnny,Bennett,M,321 Camacho Causeway,Boonton,NJ,7005,40.9115,-74.414,15269,"Psychologist, sport and exercise",1993-07-05,5acfa2203cb3bca4af8184c0e67c8eeb,1325386122,39.913117,-73.587618,0
2019-01-01 03:10:23,6592074504369261,fraud_Dickinson Ltd,misc_pos,75.85,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,PA,19154,40.0897,-74.9781,1526206,Commercial horticulturist,1972-05-23,fe92c00022684fe7be60b19e6a706679,1325387423,39.485164000000005,-75.526021,0
2019-01-01 03:35:27,3519232971341141,fraud_Barton Inc,grocery_pos,122.89,Michael,Jones,M,754 Smith Isle,Amsterdam,OH,43903,40.4731,-80.9596,2208,Mental health nurse,1961-09-10,64b91242034d9fca55a6121f683c7aaa,1325388927,41.209485,-81.837882,0
2019-01-01 03:55:27,3529597810116815,fraud_Koepp-Witting,grocery_pos,92.62,Pamela,Curtis,F,8969 Fuentes Station Apt. 291,Mill Creek,PA,17060,40.4679,-77.8967,1334,Archaeologist,1986-12-17,fb6aa71049ee72e7ca21bcd56ec9fa3d,1325390127,40.827223,-78.74356,0
2019-01-01 04:15:24,180068353086472,"fraud_Heller, Gutmann and Zieme",grocery_pos,203.26,Melissa,Flores,F,7529 Carter Well Suite 262,Huntington Beach,CA,92648,33.6773,-118.0051,190249,"Therapist, horticultural",1976-09-17,b34814818c2ecd0f86214bf1a6dc1a64,1325391324,33.010001,-117.705689,0
2019-01-01 04:36:19,3593118134380341,fraud_Kutch LLC,gas_transport,67.45,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,37b9b0f36bc38d0bab47a73a94dcf99a,1325392579,44.384263,-68.52300799999999,0
